SP,RP,SRP,LRP,FHP,BHP,RANK,RANKDIFF,SA,SRA,FHA,BALANCE,WON,Player ID
0.566,0.434,0.433,0.567,0.551,0.449,19,-0.01128695117237803,0.1319999999999999,-0.1339999999999999,0.102,0.13106796116504857,-1.0,25
0.555,0.445,0.222,0.778,0.6,0.4,539,2.5452074893712457,0.11,-0.556,0.1999999999999999,0.43325242718446616,-1.0,33
0.537,0.463,0.24,0.76,0.574,0.426,88,-2.5452074893712457,0.074,-0.52,0.1479999999999999,0.3580097087378641,1.0,21
0.515,0.485,0.515,0.485,0.454,0.546,198,0.0,0.03,0.03,-0.092,0.0,1.0,37
0.538,0.462,0.538,0.462,0.5,0.5,288,0.0,0.076,0.076,0.0,0.0,-1.0,19
0.571,0.429,0.314,0.686,0.628,0.372,127,0.2200955478613716,0.1419999999999999,-0.372,0.256,0.375,1.0,36
0.571,0.429,0.5,0.5,0.653,0.347,88,-0.2200955478613716,0.1419999999999999,0.0,0.306,0.17961165048543692,-1.0,21
0.589,0.411,0.392,0.608,0.781,0.219,143,0.0,0.178,-0.2159999999999999,0.562,0.4878640776699029,-1.0,31
0.589,0.411,0.375,0.625,0.454,0.546,149,0.0,0.178,-0.25,-0.092,0.22330097087378648,1.0,34
0.555,0.445,0.351,0.649,0.648,0.352,17,-0.5191997539293894,0.11,-0.298,0.296,0.33495145631067974,1.0,43
0.56,0.44,0.54,0.46,0.7,0.3,109,0.5191997539293894,0.12,0.08,0.3999999999999999,0.27184466019417486,-1.0,51
0.5,0.5,0.423,0.577,0.673,0.327,150,0.3329650595851519,0.0,-0.1539999999999999,0.346,0.2111650485436893,1.0,45
0.511,0.489,0.4,0.6,0.659,0.341,91,-0.3329650595851519,0.022,-0.1999999999999999,0.318,0.23543689320388358,-1.0,55
0.547,0.453,0.333,0.667,0.487,0.513,19,-0.3273215839989629,0.094,-0.334,-0.026,0.18325242718446605,1.0,25
